company,frame,score,confidence,fallback,citations,dt_ms,rationale
wayve,Geographic remit,2.1,low,false,1,3760,"The only substantive evidence is a safety-case framework explicitly aligned to the UK Automated Vehicles Act, with no lobbying records, consultation submissions, or publications touching EU, US, or international forums. Wayve's policy surface appears concentrated on DfT and UK AV regulation, consistent with its King's Cross focus, though thin evidence limits certainty."
wayve,Policy area scope,1.8,low,false,1,3555,"Evidence shows Wayve focused almost entirely on autonomous vehicle safety regulation — safety-case methodology, AV Act alignment, ODD definition. No lobbying records, consultation submissions, or publications touching compute export controls, age-appropriate design, content provenance, or other AI policy domains. Slightly above 1.0 because AV regulation inherently bridges transport and AI safety, but the policy surface is narrow."
wayve,Stage of company,3.2,medium,false,1,4480,"Wayve has Series C funding (SoftBank/Microsoft-backed, ~$1B+ raised), a deployed AV programme on UK roads, and a published Safety Case framework aligned to the Automated Vehicles Act — well past pre-product. However, evidence shows a small policy team, no lobbying records or consultation submissions provided, and limited visible regulatory-affairs infrastructure compared to Waymo or Mobileye."
wayve,Policy posture,2.1,low,false,1,3908,"Wayve's published Safety Case Approach (Sept 2024) introduces a structured claims-arguments-evidence methodology aligned to the UK Automated Vehicles Act before that framework is fully enacted, indicating frontier-shaping behaviour. However, evidence of consultation submissions, lobbying records, or broader published frameworks is absent, limiting confidence that this reflects a systematic rule-writing posture rather than a single document."
wayve,Working style,3.8,low,false,1,3860,"The only direct evidence is a published Safety Case document (Sep 2024) aligned to the UK Automated Vehicles Act, suggesting some writing output, but AV regulation is inherently a government-affairs domain and Wayve's stated focus on DfT engagement and AV Act compliance points strongly toward Westminster-facing work. Thin evidence base limits precision."
wayve,Team style,1.8,medium,false,1,4769,"Wayve operates where AV regulation is being actively written — the UK Automated Vehicles Act is a live policy surface with no settled playbook. Their safety-case methodology (citation 11) is being developed in parallel with the regulatory framework it must satisfy, requiring constant judgement calls rather than execution of established plays. Small policy team, genuinely novel terrain."
stability-ai,Geographic remit,2.1,low,false,1,4061,"No lobbying records, consultation submissions, or publications are present in the evidence; the only document is a product-level AUP with no policy-engagement content. Stability AI's described posture is reactive/compliance-focused following copyright litigation, suggesting a small desk primarily handling UK/domestic matters rather than coordinating across EU, US, or international forums."
stability-ai,Policy area scope,1.8,medium,false,1,3491,"Stability AI's documented policy surface is narrow: the only substantive framework (AUP v2024-11) is image/audio-specific, covering CSAM, NCII, and deepfakes. Known focus areas are generative-image regulation, copyright, and open weights. No evidence of engagement on compute export controls, procurement, age-appropriate design, or provenance standards."
stability-ai,Stage of company,3.2,medium,false,1,4102,"Stability AI has shipped real products (Stable Diffusion family) with global user bases, navigated major copyright litigation (Getty case), and published a versioned AUP indicating a functioning compliance apparatus. However, evidence shows a small policy desk, no lobbying records, and no consultation submissions here — suggesting a mid-tier regulatory footprint rather than a seat at standard-setter tables."
stability-ai,Policy posture,3.8,low,false,1,3615,"Stability AI's only documented framework is a reactive AUP (Nov 2024) covering CSAM and NCII—standard compliance minimums, not novel governance innovation. No RSP, no proactive consultation submissions, and legal pressure (Getty litigation) has visibly shifted posture toward defensible rule-following rather than rule-writing. Thin evidence overall, but directionally compliance-oriented."
stability-ai,Working style,2.8,low,false,1,3885,"Evidence is thin: only an AUP document exists, no lobbying records, consultation submissions, or publications. The AUP is a compliance-oriented legal instrument rather than either long-form thought leadership or traceable government-affairs activity. Stability AI's known posture—reactive to litigation, small policy desk—suggests modest government-affairs engagement but little systematic writing output either."
stability-ai,Team style,3.8,low,false,1,3904,"Stability AI's policy desk is operating a reactive compliance posture — responding to Getty/copyright suits, enforcing a standardised AUP with fixed prohibition categories, and delegating to licensees rather than building novel governance. This is closer to running established plays (legal defence, AUP templates) than frontier exploration, though the small team size and thin evidence suggest some improvisation still occurs."
synthesia,Geographic remit,2.8,low,false,1,3902,"The only hard evidence is Synthesia's internal AI Content Standards (C2PA, avatar consent, deepfake bans) — a product-level document, not a policy-engagement record. No consultation submissions, lobbying filings, or multi-jurisdiction forum activity are present. The C2PA commitment hints at international standards engagement, but there is no direct evidence of EU AI Office, NIST, or cross-border regulatory work."
synthesia,Policy area scope,1.8,medium,false,1,3554,"All available evidence points to a narrow cluster: avatar consent, deepfake bans, content moderation tiers, and C2PA provenance — every commitment lives inside synthetic-media trust-and-safety. No lobbying records, consultation submissions, or publications touching compute export controls, procurement, age-appropriate design, or other policy domains are present."
synthesia,Stage of company,3.8,medium,false,1,5101,"Synthesia has a shipped product, a structured AI Content Standards framework (April 2025) with KYC and C2PA provenance commitments, and a described policy function engaging regulators — well past startup stage. However, evidence of lobbying records, formal consultation submissions, or a seat at major regulatory tables (e.g. AISI) is absent here, capping maturity below the top tier."
synthesia,Policy posture,2.1,low,false,1,3379,"Synthesia's April 2025 AI Content Standards—covering avatar-consent regimes, public-figure deepfake bans, and C2PA provenance—are self-initiated frameworks published ahead of legal requirements, placing them closer to the frontier-defining end. Evidence is thin (no consultation submissions or lobbying records), but the framework's content suggests norm-setting rather than reactive compliance."
